gene_id,urn,N_mutations_per_position,vefill-min_pears,vefill-max_pears
105,urn:mavedb:00000057-c-1,11,0.6661647339,0.6411740669
105,urn:mavedb:00000057-c-1,12,0.6787657729,0.662310742
105,urn:mavedb:00000057-c-1,13,0.6799582894,0.6764562158
105,urn:mavedb:00000057-c-1,14,0.6929736671,0.6788299561
105,urn:mavedb:00000057-c-1,15,0.6699946716,0.6870044491
105,urn:mavedb:00000057-c-1,16,0.6879991972,0.6764445703
105,urn:mavedb:00000057-c-1,17,0.6926772753,0.6914017238
105,urn:mavedb:00000057-c-1,18,0.6883112339,0.6886792526
105,urn:mavedb:00000057-c-1,20,0.6773192199,0.6846748835
107,urn:mavedb:00000057-b-1,1,0.4468175455,0.4131734738
107,urn:mavedb:00000057-b-1,2,0.5228183469,0.4879571028
107,urn:mavedb:00000057-b-1,3,0.6456902687,0.6742070385
107,urn:mavedb:00000057-b-1,4,0.6953300143,0.7321824447
107,urn:mavedb:00000057-b-1,5,0.6776666475,0.6863131699
107,urn:mavedb:00000057-b-1,6,0.7098746328,0.6868756832
107,urn:mavedb:00000057-b-1,7,0.7373493042,0.7213199632
107,urn:mavedb:00000057-b-1,8,0.7185878757,0.6963655692
107,urn:mavedb:00000057-b-1,9,0.7389992408,0.7323377065
107,urn:mavedb:00000057-b-1,10,0.7332850006,0.7392772834
107,urn:mavedb:00000057-b-1,11,0.7350113856,0.7468788424
107,urn:mavedb:00000057-b-1,12,0.7513945641,0.751201336
107,urn:mavedb:00000057-b-1,13,0.7354501293,0.7415977389
107,urn:mavedb:00000057-b-1,14,0.7471662985,0.7632440082
107,urn:mavedb:00000057-b-1,15,0.7610593285,0.758065681
107,urn:mavedb:00000057-b-1,16,0.7495909326,0.7609831955
107,urn:mavedb:00000057-b-1,17,0.7530180023,0.7637130941
107,urn:mavedb:00000057-b-1,18,0.763413388,0.7637541777
107,urn:mavedb:00000057-b-1,20,0.757091906,0.7587902462
108,urn:mavedb:00000058-a-1,1,,
108,urn:mavedb:00000058-a-1,2,0.6282151011,
108,urn:mavedb:00000058-a-1,3,0.8482741586,
108,urn:mavedb:00000058-a-1,4,0.834778114,
108,urn:mavedb:00000058-a-1,5,0.8500540521,
108,urn:mavedb:00000058-a-1,6,0.8678163931,
108,urn:mavedb:00000058-a-1,7,0.8561541287,
108,urn:mavedb:00000058-a-1,8,0.8884337675,
108,urn:mavedb:00000058-a-1,9,0.8830451313,
108,urn:mavedb:00000058-a-1,10,0.8750276995,
108,urn:mavedb:00000058-a-1,11,0.8941335045,
108,urn:mavedb:00000058-a-1,12,0.903263803,
108,urn:mavedb:00000058-a-1,13,0.8777807245,
108,urn:mavedb:00000058-a-1,14,0.9026317023,
108,urn:mavedb:00000058-a-1,15,0.890481022,
108,urn:mavedb:00000058-a-1,16,0.8986098761,0.8444176593
108,urn:mavedb:00000058-a-1,17,0.9001473483,0.8434821518
108,urn:mavedb:00000058-a-1,18,0.8990431306,0.8434821518
108,urn:mavedb:00000058-a-1,20,0.9024553319,0.8434821518
127,urn:mavedb:00000068-b-1,1,0.5275124472,0.4582456041
127,urn:mavedb:00000068-b-1,2,0.6304489755,0.6026248321
127,urn:mavedb:00000068-b-1,3,0.665582255,0.6394881227
127,urn:mavedb:00000068-b-1,4,0.6959074127,0.656164054
127,urn:mavedb:00000068-b-1,5,0.7273125941,0.668010425
127,urn:mavedb:00000068-b-1,6,0.720474927,0.6958748705
127,urn:mavedb:00000068-b-1,7,0.7407572329,0.6765698296
127,urn:mavedb:00000068-b-1,8,0.7306464884,0.6892667142
127,urn:mavedb:00000068-b-1,9,0.7393983466,0.7211741391
127,urn:mavedb:00000068-b-1,10,0.7453385626,0.7007992078
127,urn:mavedb:00000068-b-1,11,0.7503924523,0.7159490242
127,urn:mavedb:00000068-b-1,12,0.7579635199,0.7180546618
127,urn:mavedb:00000068-b-1,13,0.745649614,0.7274153802
127,urn:mavedb:00000068-b-1,14,0.759539485,0.7212881857
127,urn:mavedb:00000068-b-1,15,0.7562073245,0.7306914975
127,urn:mavedb:00000068-b-1,16,0.7624293499,0.7256017098
127,urn:mavedb:00000068-b-1,17,0.7581889274,0.7208365833
127,urn:mavedb:00000068-b-1,18,0.7611344201,0.7361357938
127,urn:mavedb:00000068-b-1,20,0.7580589375,0.7297192403
128,urn:mavedb:00000068-c-1,1,0.5493787273,0.6111384805
128,urn:mavedb:00000068-c-1,2,0.6988444358,0.6797339814
128,urn:mavedb:00000068-c-1,3,0.7342361215,0.7434745751
128,urn:mavedb:00000068-c-1,4,0.7678027922,0.7234495781
