,completeness,repeat,dms_id,pred_score,envision_pred,fdms_pred,lasso_pred,row-mean_pred,wu2019_pred,vefill-min_pred,vefill-max_pred,vefill-min_pears_dyn_mean,vefill-max_pears_dyn_mean,5nn-blosum100_pears_any,5nn-blosum100_pears_3to5,5nn-blosum100_pears_5,5nn-functional_pears_any,5nn-functional_pears_3to5,5nn-functional_pears_5
278,0.5,0,urn:mavedb:00000106-c-1,-0.02701679409,0.2165524793,-0.062647291,-0.02055265639,-0.1074936738,0.2132544469,0.6179997127,,0.6188826554,-0.1325429388,-0.1134471262,-0.1134471262,-0.1134471262,0.7074136787,0.7074136787,0.7074136787
40,0.6,0,urn:mavedb:00000001-a-3,0.5654832686,0.4522197365,0.5230035043,0.4878596617,0.4936066512,0.5042813229,0.6005082563,,0.5934633244,,0.5695082732,0.5695082732,0.5695082732,0.6076069561,0.6076069561,0.6076069561
621,0.6,0,urn:mavedb:00000001-b-2,0.667425544,0.6232742549,0.6013679765,0.5452541865,0.6430238908,0.6308764886,0.7298559704,,0.7315568424,,0.5975037992,0.5975037992,0.5975037992,0.6856547947,0.6856547947,0.6856547947
212,0.6,0,urn:mavedb:00000041-b-1,0.2805766845,0.3336217045,0.1806803994,0.1699521219,0.07655949921,0.1299157342,0.4893130612,,0.4705273265,,0.5571988572,0.5571988572,0.5571988572,0.8391866598,0.8391866598,0.8391866598
880,0.6,0,urn:mavedb:00000043-a-1,0.4826783581,0.1749810567,0.1618256582,0.2048345134,0.415728951,0.398075676,0.6723853744,0.4807251821,0.6720826799,0.4614156117,0.6896175384,0.6589814534,0.6589814534,0.8085123604,0.7937456015,0.7937456015
1181,0.6,0,urn:mavedb:00000045-c-1,0.8157159164,0.7785672842,0.7097655501,0.7341247251,0.4233609602,0.4686563766,0.8390040402,0.8869074846,0.8428516581,0.8870856977,0.6394374637,0.6394374637,0.6394374637,0.7211324396,0.7211324396,0.7211324396
382,0.6,0,urn:mavedb:00000045-d-1,0.8882558447,0.8655300925,0.8164676645,0.8120337075,0.6095630805,0.6982319706,0.8810320674,0.8700020975,0.8846809019,0.8698836112,0.6545232791,0.6545232791,0.6543643825,0.7724577925,0.7724577925,0.7729653753
913,0.6,0,urn:mavedb:00000045-g-1,0.8754626032,0.8440607405,0.8248962989,0.8322630596,0.6224119138,0.6732639747,0.8712015732,0.8843327012,0.874335121,0.8822284916,0.7237217759,0.7237217759,0.728933662,0.8362209383,0.8362209383,0.842963141
1183,0.6,0,urn:mavedb:00000045-h-1,0.7919981029,0.7532552443,0.7254310596,0.6771432745,0.469829007,0.5087781108,0.8482421901,0.8358290882,0.8292655372,0.8480869055,0.6786145483,0.7118549768,0.7109605427,0.7320612215,0.7678536361,0.7669096571
689,0.6,0,urn:mavedb:00000045-i-1,0.826184823,0.8048292366,0.7409389782,0.7134568412,0.6040173768,0.6809853551,0.8303481026,0.8760400592,0.829566163,0.8736614754,0.5382459064,0.5382459064,0.541593643,0.6187179796,0.6187179796,0.6221178355
